"Title","Author","indivauthor","Publication","Type","Year"
"Competitive performance of elite athletes in modern ice hockey","Shynkaruk, Oksana; Shutova, Svitlana; Serebriakov, Oleh; Nagorna, Viktoriia; Skorohod, Oleksandr","Y","Journal of Physical Education and Sport","Research",2020
"Analysis of Coaching Science Research Published From 1970-2001","Gilbert, Wade D; Trudel, Pierre","Y","Research Quarterly for Exercise and Sport","Research",2004
"The Size and Strength Development in Elite Youth Ice Hockey Players","Leiter, Jeff R; Cordingley, Dean M; Zeglen, Adam J; Carnegie, Glenn D; MacDonald, Peter B; Leiter, Jeff R; Cordingley, Dean M; Zeglen, Adam J; Carnegie, Glenn D; MacDonald, Peter B","Y","International Journal of Kinesiology & Sports Science","Research",2016
"The connection between the success of a team at one-on-one battles in the defensive phase of the game and the final results of ice hockey matches in the National Hockey League and the 2018 Winter Olympic Games","Parničan, Silvio; Tóth, Igor; Peráček, Pavol","Y","Journal of Physical Education and Sport","Research",2020
"Test-retest reliability of TRIMP in collegiate ice hockey players","Ulmer, Jason G; Tomkinson, Grant R; Short, Sandra; Short, Martin; Fitzgerald, John S","Y","Biology of Sport","Research",2019
"Quantifying training load and intensity in elite male ice hockey according to game-related contextual variables","Ju, Wonwoo; Doran, Dominic; Hawkins, Richard; Evans, Mark; Laws, Andy; Bradley, Paul S","Y","Biology of Sport","Research",2023
"What Differences Exist in Professional Ice Hockey Performance Using Virtual Reality (VR) Technology between Professional Hockey Players and Freestyle Wrestlers? (a Pilot Study)","Polikanova, Irina; Polikanova, Irina; Yakushina, Anastasia; Leonov, Sergey; Leonov, Sergey; Kruchinina, Anna; Chertopolokhov, Victor; Liutsko, Liudmila; Liutsko, Liudmila","Y","Sports","Research",2022
"Early Sport Specialization and Relative Age Effect: Prevalence and Influence on Perceived Competence in Ice Hockey Players","Vincent Huard Pelletier; Vincent Huard Pelletier; Lemoyne, Jean","Y","Sports","Research",2022
"Maximum strength and power as determinants of on-ice sprint performance in elite U16 to adult ice hockey players","Koyama, Takeshi; Nishikawa, Jun; Yaguchi, Kaishi; Irino, Takayuki; Rikukawa, Akira","Y","Biology of Sport","Research",2024
"Developmental contexts and sporting success: birth date and birthplace effects in national hockey league draftees 2000-2005","Baker, Joseph; Logan, A Jane","Y","British Journal of Sports Medicine","Research",2007
"Performance Under Pressure: Preliminary Evidence from the National Hockey League","Depken, Craig A, II; Sonora, Robert J; Wilson, Dennis P","Y","International Journal of Sport Finance","Research",2012
"Investigation of Positional Differences in Fitness of Male University Ice Hockey Players and the Frequency, Time Spent and Heart Rate of Movement Patterns during Competition","Jackson, Joel; Snydmiller, Gary; Game, Alex; Gervais, Pierre; Bell, Gordon","Y","International Journal of Kinesiology & Sports Science","Research",2017
"Off-Ice Agility Provide Motor Transfer to On-Ice Skating Performance and Agility in Adolescent Ice Hockey Players","Novák, Dominik; Lipinska, Patrycja; Roczniok, Robert; Spieszny, Michal; Stastny, Petr","Y","Journal of Sports Science & Medicine","Research",2019
"PHYSICAL AND PERFORMANCE DIFFERENCES AMONG FORWARDS, DEFENSEMEN, AND GOALIES IN ELITE WOMEN'S ICE HOCKEY","Geithner, Christina A; Lee, Amanda M; Bracko, Michael R","Y","Journal of Strength and Conditioning Research","Research",2006
"Multivariable analysis of key performance indicators in rink hockey","Arboix-Alió, Jordi; Trabal, Guillem; Busca, Bernat; Aguilera-Castells, Joan; Fort-Vanmeerhaeghe, Azahara; Sánchez-López, Maria José; Peña, Javier","Y","Apunts. Educació Física i Esports","Research",2022
"Multiple Off-Ice Performance Variables Predict On-Ice Skating Performance in Male and Female Division III Ice Hockey Players","Janot, Jeffrey M; Beltz, Nicholas M; Dalleck, Lance D","Y","Journal of Sports Science & Medicine","Research",2015
"Does Teammate Recognition Accuracy Influence Movement Time in Ice Hockey?","Steel, Kylie; Dogramaci, Sera","Y","International Journal of Kinesiology & Sports Science","Research",2015
"Complex Ice Hockey Team Performance Model based on Expert Interviews","Géczi, Gergely; Gurisatti, Lilla; Komlósi, László Imre","Y","Physical Culture and Sport","Research",2022
"Mapping the Knowledge of Research Trends in Sports Performance Asymmetries from 2015 to 2024: A Bibliometric Study and Analysis of the Most-Cited Papers","Becerra-Patiño, Boryi A; Paucar-Uribe Juan David; Olivares-Arancibia, Jorge; Ojeda-Aravena, Alex; Yáñez-Sepúlveda, Rodrigo; Gamonales, José M; López-Gil, José Francisco; Hernández-Beltrán Víctor","Y","Sports","Research",2025
"Predictors of performance in the National Hockey League","Voyer, Daniel; Wright, Edward F","Y","Journal of Sport Behavior","Research",1998
"Interpreting change on the SCAT3 in professional ice hockey players","Hänninen, Timo; Parkkari, Jari; Tuominen, Markku; Iverson, Grant L; Öhman, Juha; Vartiainen, Matti; Luoto, Teemu M","Y","Journal of Science and Medicine in Sport","Research",2017
"Test-retest reliability of the SCAT6 tandem gait and cognitive components among professional hockey players","Riegler, Kaitlin E; Echemendia, Ruben J; Meeuwisse Willem; Harmon, Kimberly G; Comper, Paul; Scott, Delaney J; Hutchison, Michael G; Brett, Benjamin L; Bruce, Jared M","Y","British Journal of Sports Medicine","Research",2026
"Leading under pressure: evaluating the decision-making style of NHL coaches","Trottier, Kim","Y","Sport, Business and Management","Research",2017
"Who is the prominent tactical position in rink-hockey? A network approach based on centrality metrics","Oliveira, Patrícia; Clemente, Filipe Manuel; Martins, Fernando Manuel Lourenço","Y","Journal of Physical Education and Sport","Research",2015
"Does order matter? An empirical analysis of NHL draft decisions","Tingling, Peter; Masri, Kamal; Martell, Matthew","Y","Sport, Business and Management","Research",2011
"USE OF AGGREGATE FITNESS INDICATORS TO PREDICT TRANSITION INTO THE NATIONAL HOCKEY LEAGUE","Tarter, Barry C; Kirisci, Levent; Tarter, Ralph E; Weatherbee, Steve; Jamnik, Veronica; McGuire, E J; Gledhill, Norman","Y","Journal of Strength and Conditioning Research","Research",2009
"Differences in External Workload Demand between Session Types and Positions in Collegiate Men's Ice Hockey","Neeld, Kevin; Peterson, Ben; Dietz, Calvin; Cappaert, Thomas; Alvar, Brent","Y","International Journal of Kinesiology & Sports Science","Research",2021
"On-Ice Measures of External Load in Relation to Match Outcome in Elite Female Ice Hockey","Douglas, Adam; Johnston, Kathryn; Baker, Joseph; Rotondi, Michael A; Jamnik, Veronica K; Macpherson, Alison K","Y","Sports","Research",2019
"International matches elicit stable mechanical workload in high-level female ice hockey","Jad Adrian Washif; Hébert-Losier, Kim; Chamari, Karim; Christopher Martyn Beaven","Y","Biology of Sport","Research",2022
"The development of a data base management system for a National Hockey League (NHL) team","Leonard, Kevin J","Y","Journal of Sport Behavior","Research",1994
"Associations between time zone changes, travel distance and performance: A retrospective analysis of 2013–2020 National Hockey League Data","Charest, Jonathan; Cook, Jesse D; Bender, Amy M; Walch, Olivia; Grandner, Michael A; Samuels, Charles H","Y","Journal of Science and Medicine in Sport","Research",2022
"Tracking Systems in Team Sports: A Narrative Review of Applications of the Data and Sport Specific Analysis","Torres-Ronda, Lorena; Beanland Emma; Whitehead, Sarah; Sweeting, Alice; Clubb, Jo","Y","Sports Medicine - Open","Research",2022
"High-Intensity Acceleration and Deceleration Demands in Elite Team Sports Competitive Match Play: A Systematic Review and Meta‑Analysis of Observational Studies","Harper, Damian J; Carling, Christopher; Kiel, John","Y","Sports Medicine","Research",2019
"Biased Impartiality Among National Hockey League Referees","Lopez, Michael J; Snyder, Kevin","Y","International Journal of Sport Finance","Research",2013
"Associations between Testing and Game Performance in Ice Hockey: A Scoping Review","Vincent Huard Pelletier; Glaude-Roy, Julien; Daigle, André-Philipe; Brunelle, Jean-François; Bissonnette, Antoine; Lemoyne, Jean","Y","Sports","Research",2021
"Comparison of the current level of the selected speed abilities of juniors in terms of player positions in ice hockey","Palov, Rastislav; Pivovarnicek, Pavol; Jancoková, Ludmila","Y","Journal of Physical Education and Sport","Research",2017
"Catch and release? NHL expansion draft endowment effects","Tingling, Peter M; Masri, Kamal; Chu, Dani","Y","Sport, Business and Management","Research",2019
"Did the 2005 Collective Bargaining Agreement Really Improve Team Efficiency in the NHL?","Büschemann, Arne; Deutscher, Christian","Y","International Journal of Sport Finance","Research",2011
"The Precocity-Longevity Hypothesis Re-Examined: Does Career Start Age in Canadian National Hockey League Players Influence Length of Lifespan?","Lemez, Srdjan; Wattie, Nick; Ardern, Chris I; Baker, Joseph","Y","Journal of Sports Science & Medicine","Research",2014
"Quantifying game demands of open age and under 21 male state hockey players","Harvey, B; Naughton, G; Graham, K","Y","Journal of Science and Medicine in Sport","Research",2009
"Enhancing Ice Hockey Skills Through Stroboscopic Visual Training: A Pilot Study","Mitroff, Stephen R, PhD; Friesen, Peter, BSc, PT, PE, PGDPE, BEd, LAT,; Bennett, Doug, MA, ATC, PES, CSCS; Yoo, Herb, MS; Reichow, Alan W, OD, MEd, FAAO","Y","Athletic Training & Sports Health Care","Research",2013
"Averting a tragedy of the commons: revenue sharing and competitive balance in the NHL","York, Kenneth M; Miree, Cynthia E","Y","Sport, Business and Management","Research",2018
"Impact of power plays´ efficiency on ice hockey match result and team standings","Barilla, Patrik; Tóth, Igor; Peráček, Pavol; Babic, Matej","Y","Journal of Physical Education and Sport","Research",2019
"Is the Moneyball Approach Transferable to Complex Invasion Team Sports?","Gerrard, Bill","Y","International Journal of Sport Finance","Research",2007
"The Impact of International Competitions on Competitive Balance in Domestic Leagues: The Case of the National Hockey League's Participation in the Winter Olympics","Longley, Neil","Y","International Journal of Sport Finance","Research",2012
"Features in the speed of Chinese woman hockey players in matches","Shao, Jun","Y","Journal of Shandong Institute of Physical Medicine and Sports","Research",2009
"The effect of winning and losing on female interactive and coactive team cohesion","Matheson, Hilary; Mathes, Sharon; Murray, Mimi","Y","Journal of Sport Behavior","Research",1997
"Assessment of ice hockey performance in real-game conditions","Nadeau, Luc; Godbout, Paul; Richard, Jean-Francois","Y","European Journal of Sport Science","Research",2008
"Winning streaks in sports and the misperception of momentum","Vergin, Roger C","Y","Journal of Sport Behavior","Research",2000
"Effects of a rule change that eliminates body-checking on the relative age effect in Ontario minor ice hockey","Hancock, David J; Young, Bradley W; Ste-Marie, Diane M","Y","Journal of Sports Sciences","Research",2011
"Do physical maturity and birth date predict talent in male youth ice hockey players?","Sherar, L B; Baxter-Jones, ADG; Faulkner, R A; Russell, K W","Y","Journal of Sports Sciences","Research",2007
"The influence of birth date and place of development on youth sport participation","Turnnidge, J; Hancock, D J; Cote, J","Y","Scandinavian Journal of Medicine and Science","Research",2014
"In-Season Session Training Load Relative to Match Load in Professional Ice Hockey","Allard, Pierre; Martinez, Romain; Deguire, Simon; Tremblay, Jonathan","Y","Journal of Strength and Conditioning Research","Research",2022
"Off-Ice Fitness of Elite Female Ice Hockey Players by Team Success, Age, and Player Position","Ransdell, Lynda B; Murray, Teena M; Gao, Yong","Y","Journal of Strength and Conditioning Research","Research",2013
"THE INFLUENCE OF MENTAL IMAGERY TECHNIQUES ON SPORT PERFORMANCE AMONG HOCKEY PLAYERS","Parnabas, Vincent; Parnabas, Julinamary; Parnabas, Antoinette Mary","Y","International Journal of Physical and Social Sciences","Research",2015
"Design of a Framework for Sport Data Analysis Using GNSS","NAKAJIMA, Madoka; OTA, Chihiro; KOHTAKE, Naohiko","Y","Supotsu Sangyogaku Kenkyu = Journal of Japan Society of Sports Industry","Research",2019
"Does size of one's community affect likelihood of being drafted into the NHL? Analysis of 25 years of data","Baker, Joseph; Shuiskiy, Kasania; Schorer, Jorg","Y","Journal of Sports Sciences","Research",2014
"Impact of Preceding Workload on Team Performance in Collegiate Men's Ice Hockey","Neeld Kevin L; Peterson, Ben J; Dietz, Calvin C; Cappaert, Thomas A; Alvar, Brent A","Y","Journal of Strength and Conditioning Research","Research",2021
"A Comparison of On-Ice External Load Measures Between Subelite and Elite Female Ice Hockey Players","Douglas, Adam S; Rotondi, Michael A; Baker, Joseph; Jamnik, Veronica K; Macpherson, Alison K","Y","Journal of Strength and Conditioning Research","Research",2022
"Study on Special Physical Fitness Diagnosis of Chinese Excellent Female Hockey Players","Bao, C-Y","Y","Journal of Xi'an Institute of Physical Education","Research",2013
"Relative Age Effects in Women’s Ice Hockey: Contributions of Body Size and Maturity Status","Geithner, Christina A; Molenaar, Claire E; Henriksson, Tommy; Fjellman-Wiklund, Anncristine; Gilenstam, Kajsa","Y","Women in Sport & Physical Activity Journal","Research",2018
"Positional Performance Profiling of Elite lce Hockey Players","Vescovi, J D; Murray, T M; VanHeest, J L","Y","International Journal of Sports Physiology and Performance (IJSPP)","Research",2006
"Personality assessment and the prediction of success and achievement in professional hockey","Karp, P E","Y","Dissertation Abstracts International Part B: Science and Engineering","Research",2000
"Development of a skills observation protocol for sledge ice hockey - pilot study","Beckman, E; Kudlacek, M; Vanlandewijck, Y","Y","Acta Universitatis Palackianae Olomucensis. Gymnica","Research",2007
"The Impact of Introducing Legal Punishment on the Frequency of Aggressive Behaviour in Professional Ice Hockey: Using the Todd Bertuzzi Incident as an Ecological Case Study","Gee, C J; Potwarka, L","Y","Athletic Insight","Research",2007
